Per-Letter Accuracy — train
=============================================
Letter      Correct    Total   Accuracy
---------------------------------------------
A              3655     3686    99.16%
B              4196     4200    99.90%
C              3313     3404    97.33%
D              4063     4180    97.20%
E              3676     3787    97.07%
F              5198     5230    99.39%
G              4141     4216    98.22%
H              4009     4115    97.42%
I              3807     4000    95.17%
J              3739     3891    96.09%
K              4627     4696    98.53%
L              4591     4612    99.54%
M              2225     2572    86.51%
N              1670     2108    79.22%
O              3630     3714    97.74%
P              3136     3277    95.70%
Q              3369     3435    98.08%
R              4074     4248    95.90%
S              3893     3972    98.01%
T              3534     3816    92.61%
U              4120     4224    97.54%
V              4203     4279    98.22%
W              4128     4248    97.18%
X              3545     3726    95.14%
Y              4121     4168    98.87%
Z              3601     3773    95.44%
del            2386     2477    96.33%
space          2312     2394    96.57%
---------------------------------------------
AVERAGE                         96.22%
